Entity,Code,Gini coefficient 1990,Gini coefficient 1991,Gini coefficient 1992,Gini coefficient 1993,Gini coefficient 1994,Gini coefficient 1995,Gini coefficient 1996,Gini coefficient 1997,Gini coefficient 1998,Gini coefficient 1999,Gini coefficient 2000,Gini coefficient 2001,Gini coefficient 2002,Gini coefficient 2003,Gini coefficient 2004,Gini coefficient 2005,Gini coefficient 2006,Gini coefficient 2007,Gini coefficient 2008,Gini coefficient 2009,Gini coefficient 2010,Gini coefficient 2011,Gini coefficient 2012,Gini coefficient 2013,Gini coefficient 2014,Gini coefficient 2015,Gini coefficient 2016,Gini coefficient 2017,Gini coefficient 2018,Gini coefficient 2019,Gini coefficient 2020,Gini coefficient 2021,Gini coefficient 2022,Gini coefficient 2023
Serbia,SRB,0.39887607,0.39887607,0.39887607,0.39887607,0.39887607,0.39887607,0.39887607,0.39887607,0.39887607,0.39887607,0.39887607,0.39887607,0.39887607,0.39887607,0.39887607,0.39887607,0.39887607,0.39887607,0.39887607,0.39887607,0.39887607,0.39887607,0.39887607,0.3944599,0.40437588,0.40461844,0.38775226,0.36105734,0.35003355,0.34475464,0.34950927,0.3312897,0.3312897,0.3312897
Seychelles,SYC,0.42776692,0.42776692,0.42776692,0.42776692,0.42776692,0.42776692,0.42776692,0.42776692,0.42776692,0.42776692,0.42776692,0.42776692,0.42776692,0.42776692,0.42776692,0.42776692,0.42767617,0.42767617,0.42767617,0.42767617,0.42767617,0.42767617,0.42767617,0.46822062,0.46822062,0.46822062,0.46822062,0.46822062,0.3212532,0.3212532,0.3212532,0.3212532,0.3212532,0.3212532
Sierra Leone,SLE,0.40167344,0.40167344,0.40167344,0.40167344,0.40167344,0.40167344,0.40167344,0.40167344,0.40167344,0.40167344,0.40167344,0.40167344,0.40167344,0.40167344,0.40167344,0.40167344,0.40167344,0.40167344,0.40167344,0.40167344,0.40167344,0.34030157,0.34030157,0.34030157,0.34030157,0.34030157,0.34030157,0.34030157,0.35690176,0.35690176,0.35690176,0.35690176,0.35690176,0.35690176
Slovakia,SVK,0.20186578,0.20186578,0.20186578,0.20186578,0.20186578,0.20186578,0.26275486,0.26275486,0.26275486,0.26275486,0.26275486,0.26275486,0.26275486,0.26275486,0.2707678,0.29296494,0.25797036,0.24664712,0.26024988,0.2723098,0.2731572,0.2653828,0.26115808,0.28086153,0.26103425,0.26491234,0.2515492,0.23237365,0.24970019,0.23232324,0.24219424,0.2411022,0.2411022,0.2411022
Slovenia,SVN,0.2911778,0.2911778,0.2911778,0.2911778,0.2911778,0.2911778,0.2911778,0.241215,0.241215,0.24042886,0.24042886,0.24042886,0.24042886,0.24042886,0.24790733,0.24634741,0.24363928,0.24354753,0.23718019,0.24787736,0.24933259,0.24868034,0.25585502,0.26241106,0.25657535,0.25408465,0.24757937,0.24219307,0.24633364,0.24384232,0.24031529,0.2428228,0.2428228,0.2428228
Solomon Islands,SLB,0.46088147,0.46088147,0.46088147,0.46088147,0.46088147,0.46088147,0.46088147,0.46088147,0.46088147,0.46088147,0.46088147,0.46088147,0.46088147,0.46088147,0.46088147,0.46088147,0.46088147,0.46088147,0.46088147,0.46088147,0.46088147,0.46088147,0.37054926,0.37054926,0.37054926,0.37054926,0.37054926,0.37054926,0.37054926,0.37054926,0.37054926,0.37054926,0.37054926,0.37054926
South Africa,ZAF,0.5933394,0.5933394,0.5933394,0.5933394,0.5933394,0.5933394,0.5933394,0.5933394,0.5933394,0.5933394,0.5776966,0.5776966,0.5776966,0.5776966,0.5776966,0.6476209,0.6476209,0.6476209,0.63009,0.63009,0.6338269,0.6338269,0.6338269,0.6338269,0.630258,0.630258,0.630258,0.630258,0.630258,0.630258,0.630258,0.630258,0.630258,0.630258
South Korea,KOR,0.31702983,0.31702983,0.31702983,0.31702983,0.31702983,0.31702983,0.31702983,0.31702983,0.31702983,0.31702983,0.31702983,0.31702983,0.31702983,0.31702983,0.31702983,0.31702983,0.31702983,0.31702983,0.32324833,0.32324833,0.32021224,0.32021224,0.31558052,0.31558052,0.31192905,0.31192905,0.35222206,0.34854642,0.33725032,0.33196163,0.32708606,0.32906574,0.32906574,0.32906574
South Sudan,SSD,0.46318194,0.46318194,0.46318194,0.46318194,0.46318194,0.46318194,0.46318194,0.46318194,0.46318194,0.46318194,0.46318194,0.46318194,0.46318194,0.46318194,0.46318194,0.46318194,0.46318194,0.46318194,0.46318194,0.46318194,0.46318194,0.46318194,0.46318194,0.46318194,0.46318194,0.46318194,0.44057786,0.44057786,0.44057786,0.44057786,0.44057786,0.44057786,0.44057786,0.44057786
Spain,ESP,0.32023215,0.32023215,0.32023215,0.3565849,0.35103723,0.35726634,0.36464584,0.35324422,0.34580052,0.3379193,0.34128913,0.34128913,0.34128913,0.31800938,0.33301964,0.32431775,0.33541158,0.3413741,0.342204,0.34924084,0.35244486,0.35693976,0.35403663,0.36181897,0.3605231,0.3617834,0.35757092,0.3465126,0.3471633,0.34303716,0.34863645,0.3388591,0.3388591,0.3388591
Sri Lanka,LKA,0.32447433,0.32447433,0.32447433,0.32447433,0.32447433,0.35399538,0.35399538,0.35399538,0.35399538,0.35399538,0.35399538,0.35399538,0.40171906,0.40171906,0.40171906,0.40171906,0.3966902,0.3966902,0.3966902,0.36054152,0.36054152,0.36054152,0.38713607,0.38713607,0.38713607,0.38713607,0.39345774,0.39345774,0.39345774,0.37663776,0.37663776,0.37663776,0.37663776,0.37663776
Sudan,SDN,0.35395128,0.35395128,0.35395128,0.35395128,0.35395128,0.35395128,0.35395128,0.35395128,0.35395128,0.35395128,0.35395128,0.35395128,0.35395128,0.35395128,0.35395128,0.35395128,0.35395128,0.35395128,0.35395128,0.35395128,0.35395128,0.35395128,0.35395128,0.35395128,0.3424273,0.3424273,0.3424273,0.3424273,0.3424273,0.3424273,0.3424273,0.3424273,0.3424273,0.3424273
Suriname,SUR,0.39179897,0.39179897,0.39179897,0.39179897,0.39179897,0.39179897,0.39179897,0.39179897,0.39179897,0.39179897,0.39179897,0.39179897,0.39179897,0.39179897,0.39179897,0.39179897,0.39179897,0.39179897,0.39179897,0.39179897,0.39179897,0.39179897,0.39179897,0.39179897,0.39179897,0.39179897,0.39179897,0.39179897,0.39179897,0.39179897,0.39179897,0.39179897,0.39179897,0.39179897
Suriname (urban),,0.5754272,0.5754272,0.5754272,0.5754272,0.5754272,0.5754272,0.5754272,0.5754272,0.5754272,0.5754272,0.5754272,0.5754272,0.5754272,0.5754272,0.5754272,0.5754272,0.5754272,0.5754272,0.5754272,0.5754272,0.5754272,0.5754272,0.5754272,0.5754272,0.5754272,0.5754272,0.5754272,0.5754272,0.5754272,0.5754272,0.5754272,0.5754272,0.5754272,0.5754272
