entity,code,GDP per Capita 1990,GDP per Capita 1991,GDP per Capita 1992,GDP per Capita 1993,GDP per Capita 1994,GDP per Capita 1995,GDP per Capita 1996,GDP per Capita 1997,GDP per Capita 1998,GDP per Capita 1999,GDP per Capita 2000,GDP per Capita 2001,GDP per Capita 2002,GDP per Capita 2003,GDP per Capita 2004,GDP per Capita 2005,GDP per Capita 2006,GDP per Capita 2007,GDP per Capita 2008,GDP per Capita 2009,GDP per Capita 2010,GDP per Capita 2011,GDP per Capita 2012,GDP per Capita 2013,GDP per Capita 2014,GDP per Capita 2015,GDP per Capita 2016,GDP per Capita 2017,GDP per Capita 2018,GDP per Capita 2019,GDP per Capita 2020,GDP per Capita 2021,GDP per Capita 2022,GDP per Capita 2023
Benin,BEN,749.459666604983,757.403145130167,756.080888188102,765.47991446087,752.277508762904,781.064788483087,793.795052719562,814.90139546266,821.459971457775,838.97678700046,861.213292038555,879.85446379954,893.13710098792,896.14676322811,907.62443123609,893.915368726229,900.620535813856,926.740113781346,943.203380331621,936.565651099118,928.246655356464,927.716412864011,943.918771558781,982.399206319429,1014.43300624336,1002.41886882564,1006.03926635984,1032.90471197222,1071.50452160085,1114.17304529722,1126.6540412547,1176.37727640735,1218.50010515449,1263.62565116943
Bermuda,BMU,89089.7346423608,85311.0494288592,84642.6084927299,86582.8344997142,86545.7823557807,89849.1250139813,91743.2962338679,95383.0225110365,98347.9089816051,100867.914579743,109502.763102809,116809.925253071,114574.433608566,118018.831592635,120432.12052555,122143.799577518,128662.931924261,132595.482654866,129525.177139097,121727.584908744,118382.908990645,113937.835700983,108040.575659203,107860.394791964,103941.982606956,104855.366822135,104190.876720334,107734.608357327,106843.163739391,106708.987911684,98982.425748059,103917.0347374,110427.556780609,110409.810458449
Bhutan,BTN,812.671325538642,795.191843708186,863.463896126707,917.291293474134,963.016574811426,1043.38748999705,1099.85817853784,1138.39922383557,1182.9878113352,1248.61600819794,1259.62376434566,1321.09878328869,1427.25693198024,1506.41527569643,1552.7391509344,1632.021693912,1701.11878238422,1952.25734668794,2017.76018816244,2148.56480306587,2378.72810818592,2552.48871081346,2654.7479890751,2671.07460167268,2797.81883896042,2954.04081973327,3173.36773176318,3211.80903329561,3300.55006453134,3467.3859894972,3092.12428419388,3206.20367057183,3349.73309611324,..
Bolivia,BOL,1679.40847737071,1731.39513976862,1724.36334306425,1762.66830681419,1809.57064873433,1858.78184965565,1904.28701924027,1962.86404020257,2025.50334413825,1998.94533775903,2014.19024421967,2013.84580846685,2029.66993400326,2050.07133171186,2099.99080817148,2156.18670072156,2221.42722326294,2283.4273330342,2383.2503229842,2422.5757910558,2481.40700559612,2568.52051362119,2657.23884603876,2793.51456770698,2900.90241433528,2996.01289804214,3077.57057479881,3160.16421043125,3246.7643418883,3272.38170834596,2949.81954615545,3098.35062100148,3172.91046271232,3226.08755673382
Bosnia and Herzegovina,BIH,791.211670918053,715.689938075882,704.999683364069,747.930428983879,871.142724291713,1012.92705452504,1497.56624773882,1973.47801454223,2261.36869447791,2452.13193858336,2566.58782060588,2616.41412523094,2742.33362647095,2854.84504596813,3062.93618997193,3216.86881717187,3418.75501252184,3663.94488965387,3927.87965579966,3876.39718028292,3980.04128344756,4093.05152243746,4138.70218363601,4305.4675564178,4411.38102277262,4662.25883724069,4876.5347244666,5099.81613758953,5360.17443893099,5583.29732033466,5490.75367062899,5995.44817572385,6327.06293910437,6507.01987550791
Botswana,BWA,4039.46544455099,4224.09857544948,4226.73999498293,4186.14547358363,4219.4408088678,4399.1388580936,4543.2105349273,4809.4439184672,4724.93670942028,5070.94772048729,5062.64289173588,4971.96371794188,5175.47655317231,5320.440295139,5369.42516766112,5514.21742664705,5865.00026521361,6085.6354476126,6158.61629368051,5179.4138607146,5584.62949436356,5850.21717127884,5743.05277966638,6285.11821840855,6547.1232682172,6141.20394726616,6490.83463593483,6662.57549449506,6843.80580621129,6951.71989827806,6254.2461755493,6896.17866856924,7159.8638374729,7235.92910677284
Brazil,BRA,6149.86788957152,6107.64883706306,5973.98285652476,6167.4609220979,6427.16901975862,6596.33572707823,6640.72700688977,6764.85842125167,6687.49523583703,6621.6367628267,6817.78424119813,6823.03397034029,6944.62337530502,6941.44045779811,7258.78185202231,7409.56913269792,7622.04007171401,8003.25413136092,8330.76459882987,8246.09707036353,8792.63436164336,9067.99316393419,9167.49923975685,9366.73932481225,9338.34278324839,8936.19661756825,8577.8437669383,8628.25308951214,8722.33630361577,8771.44051336065,8435.01143297182,8799.22945854927,9032.08481611491,9258.05329063487
British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Brunei Darussalam,BRN,44179.8276912649,44201.1393897195,41672.3707444004,40342.0502418347,39721.4342531039,39274.4977645821,38331.6574507639,39820.2106577615,36331.1811884432,37045.9342090551,37509.5983267664,37269.3097506594,37976.262662486,38595.1686901058,37948.6589495693,37312.2777967112,38229.3564968534,36174.5163676434,34126.6940866315,32855.6020295133,33121.3176732283,33754.3639675001,33544.538880398,32381.0738305277,31148.729616258,30625.128732694,29492.4145383772,29524.65904505,29200.1951241759,29996.2405849189,30015.9587299585,29256.1832859253,28549.175527547,28725.115657314
Bulgaria,BGR,4431.02891762801,4097.19214824566,3840.24641758088,3813.70211369537,3896.24431360077,4025.64586412341,4257.0951171265,3678.51662422801,3843.46218406876,3540.55611680425,3721.30348182223,3941.27569674232,4264.27177080032,4523.28627075761,4854.27341537934,5236.08638411543,5634.91118964622,6054.23246498563,6470.58971544526,6294.43343149219,6434.55247966718,6611.30386682636,6699.50303013555,6700.53599670634,6802.71036465632,7078.86032298969,7344.44354121172,7601.43845373389,7851.72598908168,8206.78129446627,7990.69254981114,8682.88223826466,9352.32652776208,9819.57352949265
