Entity,Code,Literacy rate 1990,Literacy rate 1991,Literacy rate 1992,Literacy rate 1993,Literacy rate 1994,Literacy rate 1995,Literacy rate 1996,Literacy rate 1997,Literacy rate 1998,Literacy rate 1999,Literacy rate 2000,Literacy rate 2001,Literacy rate 2002,Literacy rate 2003,Literacy rate 2004,Literacy rate 2005,Literacy rate 2006,Literacy rate 2007,Literacy rate 2008,Literacy rate 2009,Literacy rate 2010,Literacy rate 2011,Literacy rate 2012,Literacy rate 2013,Literacy rate 2014,Literacy rate 2015,Literacy rate 2016,Literacy rate 2017,Literacy rate 2018,Literacy rate 2019,Literacy rate 2020,Literacy rate 2021,Literacy rate 2022,Literacy rate 2023
Vanuatu,VUT,68.7,68.7,68.7,68.7,68.7,68.7,68.7,68.7,68.7,74.0,74.0,74.0,74.0,74.0,78.4,78.4,78.4,78.4,78.4,78.4,78.4,78.4,78.4,78.4,84.7,85.05868,85.05868,85.05868,85.05868,85.05868,85.05868,89.1,89.1,89.1
Vatican,VAT,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Venezuela,VEN,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,93.0,93.0,93.0,93.0,93.0,93.0,95.0,95.0,96.0,96.0,95.0,95.0,95.0,95.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.6,97.6
Vietnam,VNM,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,94.0,94.0,94.0,94.0,94.0,94.0,94.51427,94.51427,94.51427,94.51427,96.0,96.0,96.0,96.0,96.0
Virgin Islands,,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0
Western and Central Africa (WB),,43.57052,44.36271,45.13663,45.95827,46.83009,47.00222,47.86489,48.86634,50.23897,51.08981,47.57738,48.76512,49.49761,50.07911,51.42786,51.54042,52.22362,50.2877,50.72984,50.85757,51.41708,52.02649,52.57311,53.42175,54.14114,55.00662,55.46578,56.4722,59.74735,59.55367,59.70324,60.00732,60.29085,60.50555
World,OWID_WRL,74.90692,75.28641,75.69422,76.10236,76.50139,76.91177,77.29624,79.28838,80.46865,80.80594,80.97918,81.28596,81.64014,82.11424,82.44724,82.45471,82.42525,83.0118,83.38551,83.60867,84.22716,84.41078,84.60138,84.9031,85.28639,85.67888,86.00011,86.177,86.43748,86.54791,86.74745,86.92751,87.15533,87.356
Yemen,YEM,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,54.1,54.1,54.1,54.1,54.1,54.1,54.1,54.1,54.1,54.1,68.78942,69.96195,69.96195,69.96195,69.96195,69.96195,69.96195,69.96195,69.96195,69.96195
Zambia,ZMB,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,68.0,68.0,68.0,69.0,69.0,69.0,69.0,69.0,61.12709,61.12709,61.12709,83.0,83.0,83.0,83.0,83.0,85.11726,85.11726,85.11726,71.1323,71.1323,87.5,87.5,87.5,87.5
Zimbabwe,ZWE,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,83.58271,83.58271,83.58271,88.69342,86.87348,86.87348,86.87348,86.87348,93.22755,93.22755,93.22755,89.85,89.85
