Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Bahamas,16.65603563,17.10714607,17.57090742,18.02412495,18.44379572,18.75722566,18.924045,18.85173287,18.55296988,18.07996097,17.4814525,16.90526731,16.44864016,16.16248103,16.05036551,16.12939675,16.37602996,16.7652354,17.26258063,17.80777017,18.3222049,18.74388881,18.98304951,18.99565424,18.7097758,18.12680745,17.3003412,16.29942395,15.21230777,28.39684822,13.11333081,12.30388847,11.75908408
Bahrain,9.794469317,9.792855769,9.781894633,9.765912519,9.755199156,9.732615581,9.691737539,9.627290643,9.532253143,9.406918704,9.253587041,9.077910688,8.893145689,8.712574714,8.537435317,8.374727973,8.223594578,8.079197897,7.944636419,7.816252949,7.685084578,7.547402874,7.405844856,7.248567223,7.079258468,6.899060437,6.719401694,6.540610913,6.366021553,6.20531333,6.054868563,5.932436052,5.840947894
Bangladesh,47.48541121,64.5771889,44.52653148,43.12818871,41.65016946,39.97040914,37.82299376,34.9586092,31.33124883,27.80463197,25.11417444,23.45049619,22.56933432,22.30940696,22.4363162,22.65423785,22.67827871,22.35860513,21.60123277,20.61599617,19.6205772,18.76957714,18.06832372,17.49237055,17.0333154,16.65721714,16.33965506,15.98102063,15.52923765,15.00011049,14.45290283,13.94993983,13.50876688
Barbados,12.76501764,12.26458821,11.84246952,11.48698563,11.19568749,10.96387781,10.81380414,10.7405113,10.74685103,10.81509364,10.91497395,11.03420075,11.12866095,11.19236147,11.19794346,11.14447189,11.02311742,10.82946674,10.57326962,10.27768291,9.954137397,9.627183618,9.299576714,9.003980733,8.748600084,8.590974853,8.444263298,8.364048085,8.289563733,8.227928153,8.213069122,8.160830723,8.119650746
Belarus,15.27293836,15.82061322,16.04300165,16.03904298,15.91160756,15.76170026,15.68543421,15.71046741,15.80786507,15.91156439,15.83080279,15.39579011,14.73173992,14.08215619,13.56413819,13.08874477,12.58197186,12.07289668,11.63537914,11.26640168,10.85947933,10.31484576,9.632516338,8.86914849,8.086595125,7.355995093,6.717856682,6.185704031,5.749727845,5.401263265,5.140058412,4.960482125,4.841156198
Belgium,9.578113612,9.443197093,9.28133426,9.10264966,8.902994063,8.671869457,8.424267484,8.214019354,8.093159659,8.003591279,7.845406492,7.565882932,7.19610115,6.778082075,6.381004557,6.066836158,5.850187178,5.682515746,5.51799656,5.340683789,5.143484909,4.934794196,4.727147819,4.53141054,4.351027556,4.183899393,4.02996883,3.88815735,3.761826595,3.650297847,3.556894349,3.48291209,3.425097618
Belize,13.48918881,14.34066264,15.29190727,16.34440375,17.48534521,18.63800078,19.72650132,20.65184112,21.33290001,21.71019758,21.85914323,21.83490679,21.7194461,21.52692079,21.26488507,20.95811159,20.648547,20.35733171,20.05928439,19.76404717,19.4608591,19.13082277,18.77599479,18.41557643,18.06685468,17.70972885,17.33022734,16.90880372,16.44369952,15.93022755,15.38283097,14.81937536,14.28712589
Benin,68.78271878,66.59859578,64.58606866,62.76778185,61.07052925,59.43436462,57.85272724,56.41339894,55.03315383,53.76416143,52.53648056,51.42682031,50.37840217,49.40235032,48.47340503,47.61076994,46.84132525,46.17329066,45.62929722,45.19100793,44.8274901,44.52418021,44.36382545,44.19807349,44.0319238,43.92470661,43.8268333,43.61807788,43.31240943,42.90769474,42.45984565,41.86192261,41.42414636
Bhutan,49.75703208,46.73365058,44.17856645,41.90312121,40.0302023,38.34490448,36.82804032,35.51599516,34.28115918,33.15116663,33.97015484,31.21055245,30.34099716,29.52231618,28.72336245,28.01442693,27.34730949,26.67913384,26.08122983,25.48499526,24.92575863,24.43166031,23.98582503,23.61627044,23.29746341,23.01450539,22.75320698,22.46646161,22.28817809,22.09731019,21.94871338,21.71414667,21.4651421
Bolivia (Plurinational State of),35.03475114,33.54744899,32.1812125,30.95013428,29.85128029,28.83217936,27.90025075,27.06068189,26.25333351,25.43263146,24.64492618,23.8475992,23.06206065,22.26156794,21.46625317,20.71562962,20.0106989,19.38300368,18.83728372,18.41586453,18.11124399,17.8734295,17.66851165,17.47473864,17.26541651,17.11262564,17.05128866,16.92515325,16.78614114,16.67551628,16.55985385,16.43773789,16.31193568
Bosnia and Herzegovina,9.126241118,9.326739982,125.5556852,136.5810169,44.68474456,21.0372145,7.222664101,6.607303963,6.090344397,5.68929982,5.397128896,5.205170916,5.103133122,5.079467224,5.110571202,5.164001582,5.21329556,5.233229512,5.201163843,5.130792423,5.055122093,4.996452967,4.971857379,4.9856471,5.031334425,5.08631143,5.126102008,5.13599155,5.095381858,5.006049862,4.892548663,4.770067049,4.661566111
Botswana,58.37362836,57.55802254,56.61398363,55.61749179,54.70246579,53.58364294,52.30409964,50.9214588,49.49052961,47.96141675,46.38222599,44.67079753,42.8364984,40.95127746,39.07725848,37.10651326,36.67900961,33.39149571,31.57959108,29.84413699,28.27331881,26.83626058,25.4806397,24.17933369,23.00728811,21.94077916,20.99556416,20.19363409,19.57980412,19.15286186,18.83013328,18.58348917,18.38892645
